"Site","Line","TotalLine","WinOrLose","Fun","ScoreOff","FirstDownOff","ThirdDownPctOff","RushAttOff","RushYdsOff","PassAttOff","PassCompOff","PassYdsOff","PassIntOff","FumblesOff","SackNumOff","SackYdsOff","PenYdsOff","TimePossOff","PuntAvgOff","ScoreDef","FirstDownDef","ThirdDownPctDef","RushAttDef","RushYdsDef","PassAttDef","PassCompDef","PassYdsDef","PassIntDef","FumblesDef","SackNumDef","SackYdsDef","PenYdsDef","TimePossDef"
"V",-7.5,49.5,"WIN","BORING",24.875,19.625,36.375,27.75,118.8125,35,20.875,233.6875,0.6875,0.3125,2.375,16.0625,70.4375,27.91,47.75625,21.5,20.375,35.3125,30.75,122.8125,34.8125,20.9375,228.125,0.8125,0.75,2.3125,15.625,58.0625,31.715
"H",7.5,49.5,"LOSE","BORING",30.0625,23.8125,44.625,30.0625,114.5,36.75,25.125,283.375,0.6875,0.875,1.3125,8.5625,50.3125,31.085625,NA,18.0625,17.875,28.4375,25.25,91.125,34.9375,20.0625,199.6875,1,0.5,3.25,22.75,59.4375,28.514375
"V",-3.5,41.5,"WIN","FUN",15.625,15.375,25.25,22,75.25,38,21.0625,187.8125,1.3125,0.8125,3.625,23.625,53.5625,28.78375,46.6375,22.3125,18,32.3125,31.625,137,31.0625,16.875,200.8125,1.375,0.6875,2.375,14.25,50.625,30.81625
"V",-3.5,56,"WIN","FUN",26.1875,21.375,43.875,23.625,87.3125,38.4375,26.375,281.8125,0.875,0.25,1.75,13.125,25.9375,30.675625,47.6625,18.6875,18.625,39.4375,25.6875,123.1875,34.4375,21.0625,242.375,1.25,0.6875,1.8125,11.375,40.0625,28.924375
"H",-10.5,51.5,"WIN","BORING",21.5,18.8125,39.0625,27.625,138.5625,31.9375,19.3125,204.3125,1.0625,1.0625,1.875,10.0625,54.4375,29.855625,43.13125,27.1875,21.8125,43.125,29.375,145.8125,33.5,19.125,217.0625,0.75,0.5625,2.25,12.25,43.3125,29.744375
"H",-3.5,45,"WIN","BORING",22.3125,20.5,41.375,28.875,130.5,30.625,17.75,230.1875,0.75,0.625,2.25,15.25,52.1875,29.488125,42.4375,22.6875,20.375,35.25,26,110.0625,34.6875,23.1875,223,0.6875,0.75,2.4375,17.75,44.4375,30.136875
"H",3,42,"LOSE","OKAY",23.4375,18.1875,34.625,29.375,123.125,30.3125,17.9375,187.4375,1,0.5,2.75,18.6875,50.6875,31.408125,41.89375,17.3125,17.875,34.4375,24.25,101.6875,37,21.875,213.9375,1.5,1.25,2.5625,18.0625,44,28.191875
"V",-3,42,"WIN","FUN",24.4375,18.1875,33.625,26.875,109.0625,33.75,20.9375,223.625,1,0.625,2.875,14.3125,53.5625,30.276875,46.0375,20,19.1875,34.375,26.4375,107.1875,35,21.625,212.5,0.875,1,3.1875,22.5625,48.6875,29.323125
"H",2.5,40.5,"WIN","OKAY",18.875,17.375,30.375,24.75,99.5625,35.375,20.5,214.6875,1.125,0.5,2.25,14.5625,62.8125,27.815625,41.79375,23,21.625,37,28.5625,118.625,37.5,23.625,245.1875,1.0625,0.75,2.375,14.5625,63,31.809375
"H",3.5,50,"LOSE","OKAY",23.5,21.125,42.5,22.1875,79.0625,41.125,27.125,295.5625,1.1875,0.625,2.25,16.4375,53.3125,30.4175,44.6375,25,19.8125,39.875,27.5625,125.1875,31.9375,20,230.25,0.4375,0.5625,2.125,13.1875,45.375,29.1825
"H",4.5,47.5,"LOSE","FUN",23.25,23.875,41.4375,24.4375,100.8125,46.25,27.8125,307.9375,1.0625,1,1.8125,13.25,59,31.13,41.48125,27.3125,19.125,36.875,26.25,118.0625,34,21.625,223.0625,0.6875,0.375,2.125,14.8125,49.3125,28.51875
"V",-5,48.5,"WIN","FUN",27.0625,21.3125,41.9375,27.0625,106.375,34.875,23.375,253.0625,0.5,0.5,3.1875,18.3125,57.6875,30.23375,43.05,21,19.1875,36.5,26.125,118.5,35.5,19.5625,218.25,1.125,0.3125,2.9375,19.3125,65.9375,29.39125
"H",11.5,45.5,"LOSE","BORING",22.3125,22.5,40.4375,27.5,104.4375,39.25,21.1875,258,1.125,0.5625,2.5625,15.375,50.0625,30.398125,47.625,24.1875,20.3125,37.5625,26.75,137.5,33.4375,20.875,236.75,0.75,0.1875,2,11.8125,75.5,29.2125
"H",-4.5,43,"WIN","BORING",15.9375,16.8125,28.3125,22.375,85.5625,36.625,20.5,213.6875,1.0625,0.5625,3.125,20.4375,59.6875,27.274375,48.06875,27.75,22.8125,40.25,34.0625,141,33.4375,21.3125,239.5,0.75,0.6875,1.25,8,51.25,32.378125
"V",4.5,43,"LOSE","BORING",13.1875,17.875,31.75,31.25,149.6875,29.6875,17.0625,169.5625,1.25,1.0625,2.5,14,45.8125,29.83375,46.51875,26.5625,18.8125,39.625,30.125,135.6875,29,17.4375,220.8125,0.4375,0.375,1.6875,10.0625,41.875,29.836875
"V",-2.5,40.5,"LOSE","OKAY",18,18,36.75,27.5625,111.5625,31.5,18.3125,199.9375,0.8125,0.8125,2.25,14.125,45.25,28.30375,50.25,19.8125,20,34.8125,26.9375,108.375,37.5,22.0625,248.375,0.625,0.375,2.625,15.125,65.3125,31.32125
"V",-4.5,47.5,"WIN","OKAY",23.6875,19.125,35.625,30.4375,164.1875,30.1875,18.75,172.375,0.75,0.6875,1.9375,11.0625,51.875,28.463125,45.6625,21.75,21.625,39.3125,26.6875,105.75,38.25,24.4375,244.25,0.625,0.75,2.75,17.75,59.3125,31.136875
"V",10.5,51.5,"LOSE","OKAY",34.8125,27.8125,48.5625,32.6875,136.5,40.0625,25.125,291.375,0.5625,0.4375,1.6875,11.375,52.5,30.499375,43.6625,20.6875,21.1875,40.125,25.9375,101.875,37.125,23.0625,271.375,1.25,1.3125,2.3125,13.3125,58.25,29.100625
"H",3.5,56,"LOSE","FUN",28.8125,22,42.5,23.125,98.5625,41.9375,26.4375,312.3125,1.1875,0.3125,1.625,11.875,56.9375,28.418125,49.54375,28.375,23.8125,37.8125,28.5625,147.5625,37.625,23.125,292.5625,0.9375,0.6875,1.875,12.125,52.1875,31.214375
"V",-3.5,50,"WIN","FUN",26.8125,20.375,40.625,25.5625,116.375,33.6875,20.1875,239.0625,0.9375,0.375,1.25,8.875,36.125,28.95625,46.69375,21.5,19.8125,41.75,28.0625,129.125,33.375,21.3125,254.25,1.3125,0.875,2.0625,14.4375,56.25,30.64375
"H",-6,39,"LOSE","BORING",17.5625,18.6875,36.125,30.875,118.5,30.8125,17,180.6875,1.1875,1.125,2.9375,17.9375,44.25,29.771875,46.3875,23.4375,18.3125,36.9375,30.9375,133.625,30.875,16.625,189.75,0.6875,0.75,1.875,10.625,50.3125,29.86375
"V",-11.5,45.5,"WIN","BORING",18.125,18.8125,33.5625,23.5,88.75,39.3125,23.5,255.25,1,0.625,1.6875,13,58.6875,29.241875,47.8875,27.6875,19,37.875,27.75,118.5625,32.875,21.6875,235.9375,0.6875,0.5,1.5625,11.5625,57.8125,30.383125
"H",6,42,"WIN","BORING",21,19.1875,40.6875,25.75,96.0625,35.875,22.125,236.6875,0.875,1,2.3125,14.0625,58.625,31.946875,43.3125,19.625,17.125,34.75,24.4375,90.625,32.6875,18.6875,185.1875,0.625,0.625,2.3125,12.25,55.125,27.653125
"H",5,48.5,"LOSE","FUN",24.8125,20.125,34.5,30.75,155.6875,27.25,18.0625,206.125,0.5,0.5,2.5625,15.8125,60,30.65625,48.225,17.0625,17.8125,32.8125,25.4375,94.1875,35.4375,21.0625,200.1875,0.875,0.6875,2.375,16.875,47.375,29.02875
"V",3.5,45,"LOSE","FUN",25.75,19.375,39.1875,33.5,161.1875,25.3125,16.1875,189.4375,0.625,0.5,2.0625,12.6875,55.625,31.3875,45.4375,15.3125,18.375,36.6875,23,103.0625,35.25,20.4375,203.125,1.125,0.8125,2.25,15.4375,56.375,28.29625
"H",3.5,41.5,"LOSE","FUN",18.6875,17.875,31.8125,25.625,107.125,34.8125,20.75,221.875,0.875,0.5,2.1875,14.5625,61.125,28.808125,46.0125,21.75,20.375,36.5,27.625,117.5,34.1875,22.625,225.125,1.0625,0.25,3.25,20.3125,47.375,30.851875
"V",6,39,"WIN","BORING",24.3125,18.8125,35.25,26,114.8125,35.375,19.4375,248.9375,1.0625,0.375,1.625,10.0625,51.1875,29.980625,44.85,24.625,20.625,39.125,23.5,82.9375,39.1875,25.625,296.9375,1.125,0.5,1.75,12.5,53.1875,29.67
"V",-6,42,"LOSE","BORING",20.625,16.1875,37.125,23.625,105.4375,33.75,19.875,207.6875,1,0.75,2.4375,15.875,52.9375,27.0725,47.825,29.4375,22.375,39.25,30.1875,127.1875,35.25,23.375,247.75,1.1875,0.3125,2.4375,15.0625,44.8125,32.611875
"V",6.5,45.5,"LOSE","FUN",26,21.3125,37.125,31.75,132.6875,34.625,22.125,239.375,0.8125,0.25,1.75,13.5,54.5625,32.72625,47.04375,20.6875,18.1875,30.75,24.375,97.5,36.3125,19.25,225.75,0.9375,0.875,2.75,16.8125,53.9375,26.92625
"V",-4.5,53.5,"LOSE","BORING",17.5,20.8125,36.6875,25.8125,117.125,38.625,22.9375,236.9375,0.9375,1.375,3,17.75,50.8125,29.40125,46,27.75,19.8125,41.6875,29.9375,126.3125,30.3125,18.25,216.875,0.5,0.3125,1.875,12.375,62.25,30.19875
"H",-6.5,45.5,"WIN","BORING",21.875,18.3125,36.5,25.6875,91.3125,33,21.125,206,0.9375,0.6875,3.0625,19.4375,49.75,30.9175,47.975,21.875,19.8125,40.125,25.375,96.375,35.5,21.6875,230.0625,0.875,0.875,2.375,15.25,49.875,28.691875
"H",4.5,53.5,"WIN","FUN",27.25,21.3125,36,32.4375,169.3125,27.625,18.1875,213.875,0.5,0.375,2.0625,15.25,61.5625,30.875,43.14375,24.25,21.1875,43.5,22.6875,95.75,39.75,24.5625,281.9375,1.3125,0.625,2,13.0625,50.6875,28.725
"H",11.5,43.5,"LOSE","BORING",34.125,27.875,48.875,32.6875,136.25,41.375,25.5,294.1875,0.625,0.5625,1.75,11.8125,53.5,30.900625,43.7125,21.1875,21.125,39.8125,27.0625,109.125,36.125,22.375,264.25,1.1875,1.375,2.1875,12.8125,61.0625,28.699375
"V",-11.5,43.5,"WIN","BORING",15.6875,18.75,34.125,30.4375,116.75,31.5625,17.3125,177.4375,1.1875,1.1875,3.25,20.5625,44.9375,29.836875,46.19375,22.75,17.8125,35.125,30.875,125.5,30.8125,16.4375,189.125,0.5625,0.75,2.0625,12.1875,54.5625,29.79875
"H",-2,48.5,"LOSE","OKAY",15.875,15.8125,26.5,22.375,77.9375,38.25,21.4375,193.6875,1.3125,0.8125,3.8125,24.75,51.4375,29.095625,46.5875,23,18.125,32.625,31.0625,134,31.3125,17.4375,210.8125,1.375,0.6875,2.1875,13.375,48.6875,30.504375
"H",5.5,47.5,"LOSE","FUN",24.75,21.1875,42.4375,23.0625,87.5625,38.875,26.5,281,0.9375,0.3125,1.875,14.25,26.375,30.453125,47.3375,18.625,18.375,38,25.4375,118.5625,34.5625,21.375,248.625,1.1875,0.625,1.75,11.3125,42.0625,29.146875
"H",7,44,"LOSE","BORING",23.8125,19.5,36.5625,27.625,114.8125,36.875,21.5625,235.375,0.8125,0.3125,2.4375,16.4375,70.625,28.29375,48.20625,23.75,20.625,36.9375,30.4375,118.8125,35.125,21.25,243.875,0.75,0.8125,2.25,14.9375,59.3125,31.33125
"H",-3.5,43.5,"LOSE","FUN",21.0625,18.5,36.8125,28.125,134.875,31.625,19.3125,201.5,0.875,1.125,1.875,10.0625,57,29.465,43.4625,25.625,22.125,42.125,29.3125,148.3125,35.0625,19.75,217.5,0.75,0.6875,2.375,13.1875,43.4375,30.135
"V",3.5,43.5,"WIN","BORING",22.125,20.5625,42.9375,29.6875,138.25,30,17.3125,219.4375,0.625,0.75,2.125,14.875,51,29.93375,42.9375,22.4375,20.375,35.875,25.375,106.3125,35.25,23.75,233.75,0.6875,0.8125,2.4375,18.375,48.4375,29.69125
"H",6.5,42,"LOSE","FUN",22.375,17.625,35.25,29.0625,121.0625,30.1875,17.9375,182.9375,1,0.5,2.625,17.5,51.375,31.159375,42.19375,17.3125,17.625,37.1875,24.625,101.6875,36.25,22.0625,212.9375,1.4375,1.1875,2.4375,17.375,48.0625,28.440625
"V",-7,44,"WIN","BORING",18.5,17.875,29.875,24.1875,96.3125,36.5,21.375,223,1.0625,0.5,2.5,16.9375,64.1875,28.01,41.85625,23.375,21.1875,37.5,28.125,110.5,36.375,23.3125,242,0.875,0.6875,2.5,14.9375,60.9375,31.615
"V",-3,46,"WIN","FUN",24.25,21.375,42.0625,22,75.5625,42.375,28,292.6875,1.1875,0.625,2.25,16.5625,50.4375,30.606875,44.125,25.875,20.1875,41.25,27.25,123.1875,32.5625,20.375,245.3125,0.625,0.6875,2.125,12.9375,46.5625,28.993125
"V",4,55.5,"LOSE","OKAY",31.1875,24.0625,44.4375,29.8125,112.6875,37.75,25.625,296.1875,0.6875,0.9375,1.375,8.8125,51.0625,31.18375,NA,18.5625,18.1875,27.0625,24.9375,90.0625,36.3125,20.8125,207.5625,1.0625,0.5,3.1875,22.1875,59.5,28.41625
"V",2,48.5,"WIN","OKAY",23.6875,23.875,41.0625,25.4375,102.625,45.9375,27.5625,308.625,0.9375,1.0625,1.75,12.6875,62.8125,31.545625,41.3375,27.375,19.25,36.0625,25.9375,119.75,34.1875,21.6875,226.3125,0.875,0.4375,2.125,13.9375,48.5,28.103125
"H",8,50,"LOSE","OKAY",27.4375,21.4375,41.5625,27.375,107.5,34.4375,22.8125,255.75,0.5,0.5625,3.125,17.5,55.625,29.874375,42.925,21.25,19.25,38.25,26.25,112.5,36.3125,20,231.5625,1.125,0.3125,2.8125,18.5625,67.125,29.725625
"H",9,43,"LOSE","FUN",26.0625,21.75,37.4375,31.3125,135,35.5,23,244.0625,0.875,0.25,1.75,13.8125,56.9375,32.843125,47.13125,21.8125,18.125,32.625,24.4375,97.5625,35.875,18.875,224.9375,0.8125,0.8125,2.6875,16.125,52.5,26.809375
"H",3,44,"WIN","FUN",22.3125,22.25,42.9375,28.1875,108.4375,37.875,20.875,248.875,0.9375,0.4375,2.625,16.3125,50.8125,30.57375,46.85,22.6875,19.9375,38.875,26.75,141.0625,33.0625,20.75,229.6875,0.8125,0.1875,1.9375,11.625,75.6875,29.036875
